rank,source_type,sample_id,light_source_name,sigma_ev,absorption_unit,light_source_unit,absorbed_flux_unit,reference_concentration_molar,reference_path_cm,light_flux_total,td_method_basis,td_solvent,gaussian_lambda_max_nm,gaussian_molar_absorptivity_max,gaussian_absorptance_max,gaussian_absorbed_flux,gaussian_absorbed_fraction,gaussian_shape_overlap,lorentzian_lambda_max_nm,lorentzian_molar_absorptivity_max,lorentzian_absorptance_max,lorentzian_absorbed_flux,lorentzian_absorbed_fraction,lorentzian_shape_overlap,delta_absorbed_flux,delta_absorbed_fraction,delta_shape_overlap,abs_delta_absorbed_fraction
33,experimental,Rhodamine_6G,LEDB4,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3041.7712037889564,,,529.0,0.0,0.9307340173133271,654.366711284982,0.21512686768481326,0.31521911376659134,529.0,0.0,0.9307340173133271,654.366711284982,0.21512686768481326,0.31521911376659134,0.0,0.0,0.0,0.0
34,experimental,Rhodamine_6G,LEDB3,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3063.901565166622,,,529.0,0.0,0.9307340173133271,627.1678526177893,0.20469582304733167,0.2967338089949421,529.0,0.0,0.9307340173133271,627.1678526177893,0.20469582304733167,0.2967338089949421,0.0,0.0,0.0,0.0
35,experimental,Rhodamine_6G,AM15G,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,W m^-2,0.0,0.0,475.92496733305666,,,529.0,0.0,0.9307340173133271,93.34073446919658,0.19612489546881845,0.24638166381634433,529.0,0.0,0.9307340173133271,93.34073446919658,0.19612489546881845,0.24638166381634433,0.0,0.0,0.0,0.0
36,experimental,Rhodamine_B,AM15G,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,W m^-2,0.0,0.0,475.92496733305666,,,542.0,0.0,0.9127510920144639,93.23927366980772,0.19591170892397838,0.24699568706344383,542.0,0.0,0.9127510920144639,93.23927366980772,0.19591170892397838,0.24699568706344383,0.0,0.0,0.0,0.0
37,experimental,Rhodamine_B,LEDB2,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3037.509874299953,,,542.0,0.0,0.9127510920144639,586.9445946426193,0.19323216020092476,0.2862708878592347,542.0,0.0,0.9127510920144639,586.9445946426193,0.19323216020092476,0.2862708878592347,0.0,0.0,0.0,0.0
38,experimental,Eosin_Y,LEDB4,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3041.7712037889564,,,524.0,0.0,0.9236076271515453,574.1321960545034,0.18874930347796723,0.28467488533314256,524.0,0.0,0.9236076271515453,574.1321960545034,0.18874930347796723,0.28467488533314256,0.0,0.0,0.0,0.0
39,experimental,Eosin_Y,CIEFL10,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3008.8121915614956,,,524.0,0.0,0.9236076271515453,553.2842659534258,0.18388793674299944,0.5221730269476736,524.0,0.0,0.9236076271515453,553.2842659534258,0.18388793674299944,0.5221730269476736,0.0,0.0,0.0,0.0
40,experimental,Eosin_Y,LEDB3,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3063.901565166622,,,524.0,0.0,0.9236076271515453,556.2256945259408,0.18154163333758797,0.27082255009576134,524.0,0.0,0.9236076271515453,556.2256945259408,0.18154163333758797,0.27082255009576134,0.0,0.0,0.0,0.0
41,experimental,Eosin_Y,AM15G,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,W m^-2,0.0,0.0,475.92496733305666,,,524.0,0.0,0.9236076271515453,85.9346258352933,0.1805633907312021,0.22495230593813964,524.0,0.0,0.9236076271515453,85.9346258352933,0.1805633907312021,0.22495230593813964,0.0,0.0,0.0,0.0
42,experimental,Coumarin_6,CIEFL10,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3008.8121915614956,,,456.0,0.0,0.7114042042645803,543.0902533582371,0.18049988459943966,0.36192731101677256,456.0,0.0,0.7114042042645803,543.0902533582371,0.18049988459943966,0.36192731101677256,0.0,0.0,0.0,0.0
43,experimental,Coumarin_6,LEDB4,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3041.7712037889564,,,456.0,0.0,0.7114042042645803,530.2313734481843,0.17431665234640464,0.27549921135546135,456.0,0.0,0.7114042042645803,530.2313734481843,0.17431665234640464,0.27549921135546135,0.0,0.0,0.0,0.0
44,theoretical,3f_td,AM15G,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,W m^-2,1e-05,1.0,589.120214277655,b3lyp/6-31g,,551.3351335133514,16569.638690867596,0.31718411952402836,99.54478410385921,0.16897193763061627,0.6037617831939711,552.8952895289528,11997.340217637662,0.24137596541113648,86.1658661266109,0.14626194117657712,0.7180561231744245,13.37891797724832,0.02270999645403915,-0.11429433998045335,0.02270999645403915
45,experimental,Rhodamine_6G,LEDB2,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3037.509874299953,,,529.0,0.0,0.9307340173133271,495.0388061151837,0.16297520883920552,0.24583399906011014,529.0,0.0,0.9307340173133271,495.0388061151837,0.16297520883920552,0.24583399906011014,0.0,0.0,0.0,0.0
46,experimental,Coumarin_6,AM15G,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,W m^-2,0.0,0.0,475.92496733305666,,,456.0,0.0,0.7114042042645803,75.82550360493576,0.1593223907328072,0.2651767781496991,456.0,0.0,0.7114042042645803,75.82550360493576,0.1593223907328072,0.2651767781496991,0.0,0.0,0.0,0.0
47,experimental,Fluorescein,LEDB2,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3037.509874299953,,,224.0,0.0,0.9998942695696258,431.0538398639197,0.14191026785164396,0.18890573973471017,224.0,0.0,0.9998942695696258,431.0538398639197,0.14191026785164396,0.18890573973471017,0.0,0.0,0.0,0.0
48,experimental,Eosin_Y,LEDB2,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3037.509874299953,,,524.0,0.0,0.9236076271515453,426.51575967631675,0.14041625453962178,0.22196838838769722,524.0,0.0,0.9236076271515453,426.51575967631675,0.14041625453962178,0.22196838838769722,0.0,0.0,0.0,0.0
49,experimental,Coumarin_6,LEDB3,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3063.901565166622,,,456.0,0.0,0.7114042042645803,404.23161136513863,0.13193361560985906,0.21211944337443453,456.0,0.0,0.7114042042645803,404.23161136513863,0.13193361560985906,0.21211944337443453,0.0,0.0,0.0,0.0
50,experimental,Coumarin_314,CIEFL10,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3008.8121915614956,,,436.0,0.0,0.6574373575592655,355.14378635546103,0.11803454776987946,0.25550152218596744,436.0,0.0,0.6574373575592655,355.14378635546103,0.11803454776987946,0.25550152218596744,0.0,0.0,0.0,0.0
51,experimental,Coumarin_314,LEDB4,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3041.7712037889564,,,436.0,0.0,0.6574373575592655,314.0736340365638,0.10325353650706558,0.18018879442335853,436.0,0.0,0.6574373575592655,314.0736340365638,0.10325353650706558,0.18018879442335853,0.0,0.0,0.0,0.0
52,experimental,Coumarin_314,AM15G,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,W m^-2,0.0,0.0,475.92496733305666,,,436.0,0.0,0.6574373575592655,47.809580735485206,0.10045613072874915,0.1902295938643521,436.0,0.0,0.6574373575592655,47.809580735485206,0.10045613072874915,0.1902295938643521,0.0,0.0,0.0,0.0
53,experimental,Coumarin_6,LEDB2,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3037.509874299953,,,456.0,0.0,0.7114042042645803,244.4411909225536,0.08047420454193234,0.13523294725806348,456.0,0.0,0.7114042042645803,244.4411909225536,0.08047420454193234,0.13523294725806348,0.0,0.0,0.0,0.0
54,experimental,Coumarin_314,LEDB3,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3063.901565166622,,,436.0,0.0,0.6574373575592655,242.28867670824224,0.07907847936853221,0.14213937642150498,436.0,0.0,0.6574373575592655,242.28867670824224,0.07907847936853221,0.14213937642150498,0.0,0.0,0.0,0.0
55,experimental,Coumarin_314,LEDB2,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3037.509874299953,,,436.0,0.0,0.6574373575592655,124.52838333390406,0.040996865355904,0.09073802324688933,436.0,0.0,0.6574373575592655,124.52838333390406,0.040996865355904,0.09073802324688933,0.0,0.0,0.0,0.0
56,experimental,Coumarin_1,AM15G,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,W m^-2,0.0,0.0,475.92496733305666,,,376.0,0.0,0.41607105970082325,14.641438501486961,0.03076417399056257,0.10447496917096342,376.0,0.0,0.41607105970082325,14.641438501486961,0.03076417399056257,0.10447496917096342,0.0,0.0,0.0,0.0
